coverage,density,id,k,mass,mean,n,res_dim
0.80625,0.7166666666666667,9,129,0.6,0.7166666666666667,180,4
0.83125,0.6927083333333334,8,133,0.64,0.6927083333333334,192,4
0.85625,0.6715686274509803,7,137,0.68,0.6715686274509803,204,4
0.88125,0.6527777777777778,6,141,0.72,0.6527777777777778,216,4
0.90625,0.6359649122807017,5,145,0.76,0.6359649122807017,228,3
0.925,0.6166666666666667,4,148,0.8,0.6166666666666667,240,2
