A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,scenario
68,316.1040776878084,1.0,0.8220573339917991,314.1128438508915,1.5,0.0094219075476759,138.00808051722726,10.0,0.1544359079887929,219.96852854427405,10.0,0.2257896808980928,134.0214029455477,10.0,0.0555998618333894,3.5,4.5,3.5,3924
1,323.4872084057702,10.0,0.8651908080511819,329.4373351644544,1.0,0.001103981539698,115.89526020208714,1.0,0.0513787999883782,284.6254480099957,1.0,0.59703728719036,285.8612304725441,10.0,0.9358208886409576,3.5,1.5,4.5,33924
33,312.07952382106566,1.5,0.3124729003678229,284.2956371169065,10.0,0.0498872269884587,188.11880602010916,10.0,0.0011124492746186,190.9177285175051,10.0,0.8798667766463023,216.4853224052464,10.0,0.8565734219288597,1.5,1.5,1.5,30634
2,107.99648440973128,10.0,0.3298245269746281,58.00856413573799,1.0,0.0201240363633023,317.17796020093425,1.5,0.0763556509514499,272.57527899307604,10.0,0.4021275985851224,325.21619253362,1.0,0.319228451330814,2.5,3.5,2.5,6018
