A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,scenario
33,312.07952382106566,1.5,0.3124729003678229,284.2956371169065,10.0,0.0498872269884587,188.11880602010916,10.0,0.0011124492746186,190.9177285175051,10.0,0.8798667766463023,216.4853224052464,10.0,0.8565734219288597,1.5,1.5,1.5,30634
26,51.94886434900722,1.0,0.0360141531081494,160.57617288508902,1.0,0.4849812696249641,58.99323058466653,1.0,0.0145951554508055,174.95381630905885,1.0,0.8744816840590078,257.7938104109027,1.0,0.0006372277718368,4.5,3.5,3.5,11898
12,322.1950997936238,1.0,0.8407913092412207,310.9311307266799,1.5,0.9157144712395524,333.25971271173626,1.0,0.9958092743537376,314.80304446578504,1.0,0.7884006662207593,227.5940624410577,1.5,0.931415158952447,3.5,3.5,4.5,38351
