,epsilon_progress,nfe
0,0,0
1,41,100
2,254,1100
3,453,2100
4,637,3100
5,810,4100
6,944,5100
7,1043,6100
8,1142,7100
9,1229,8100
10,1292,9100
11,1363,10927
