,epsilon_progress,nfe
0,0,0
1,32,100
2,275,1100
3,500,2100
4,684,3100
5,828,4100
6,967,5100
7,1072,6100
8,1173,7100
9,1257,8100
10,1330,9100
11,1388,11479
