,epsilon_progress,nfe
0,0,0
1,35,100
2,281,1100
3,504,2100
4,669,3100
5,834,4100
6,972,5100
7,1095,6100
8,1204,7100
9,1293,8100
10,1389,9100
11,1441,11560
