epsilon_progress,nfe
0,0
28,100
211,1100
380,2100
506,3100
611,4100
683,5100
741,6100
788,7100
829,8100
853,9100
868,10495
1013,11815
1099,13135
1174,14455
1241,15775
1311,17095
1376,18415
1425,19735
1456,21055
1488,22375
1515,23695
1541,25015
1570,26335
1595,27655
1616,28975
1638,30295
1659,31615
1678,32935
1700,34255
1726,35575
1736,36895
1752,38215
1763,39535
1770,40195
