,epsilon_progress,nfe
0,0,0
1,37,100
2,248,1100
3,395,2100
4,497,3100
5,609,4100
6,679,5100
7,755,6100
8,825,7100
9,861,8100
10,906,9100
11,938,10648
12,1124,12376
13,1260,14104
14,1392,15832
15,1490,17560
16,1582,19288
17,1621,20152
