epsilon_progress,nfe
0,0
35,100
200,1100
366,2100
495,3100
577,4100
636,5100
686,6100
732,7100
779,8100
831,9100
869,10471
987,11727
1090,12983
1169,14239
1248,15495
1308,16751
1382,18007
1429,19263
1479,20519
1525,21775
1571,23031
1612,24287
1651,25543
1689,26799
1722,28055
1743,29311
1764,30567
1800,31823
1826,33079
1848,34335
1868,35591
1892,36847
1911,38103
1933,39359
1943,40615
