epsilon_progress,nfe
0,0
18,100
86,1100
186,2100
248,3100
316,4100
366,5100
384,6100
392,7100
405,8100
406,9100
410,10132
416,11188
418,12244
418,13300
418,14356
418,15412
419,16468
419,17524
420,18580
421,19636
422,20692
422,21748
422,22804
422,23860
422,24916
423,25972
423,27028
424,28084
424,29140
424,30196
424,31252
424,32308
424,33364
424,34420
424,35476
424,36532
424,37588
424,38644
424,39700
424,40052
