,epsilon_progress,nfe
0,0,0
1,43,100
2,235,1100
3,420,2100
4,548,3100
5,660,4100
6,734,5100
7,791,6100
8,817,7100
9,846,8100
10,882,9100
11,908,10564
12,1079,12068
13,1198,13572
14,1302,15076
15,1381,16580
16,1473,18084
17,1552,19588
18,1592,20340
