epsilon_progress,nfe
0,0
19,100
189,1100
342,2100
452,3100
536,4100
601,5100
647,6100
686,7100
716,8100
744,9100
764,10219
837,11387
884,12555
910,13723
935,14891
951,16059
958,17227
967,18395
972,19563
975,20731
981,21899
983,23067
985,24235
985,25403
988,26571
991,27739
993,28907
994,30075
994,31243
995,32411
998,33579
1000,34747
1001,35915
1001,37083
1002,38251
1005,39419
1009,40266
