epsilon_progress,nfe
0,0
33,100
192,1100
313,2100
410,3100
496,4100
557,5100
624,6100
680,7100
725,8100
764,9100
793,10249
853,11577
892,12905
921,14233
946,15561
954,16889
965,18217
971,19545
974,20873
980,22201
983,23529
985,24857
987,26185
989,27513
990,28841
993,30169
995,31497
996,32825
999,34153
1002,35481
1005,36809
1007,38137
1008,39465
1009,40129
