,epsilon_progress,nfe
0,0,0
1,23,100
2,195,1100
3,342,2100
4,460,3100
5,557,4100
6,635,5100
7,691,6100
8,744,7100
9,782,8100
10,807,9100
11,835,10603
12,1002,12211
13,1146,13819
14,1258,15427
15,1360,17035
16,1458,18643
17,1540,20251
