,epsilon_progress,nfe
0,0,0
1,17,100
2,70,1100
3,124,2100
4,180,3100
5,242,4100
6,290,5100
7,310,6100
8,320,7100
9,328,8100
10,334,9100
11,340,10100
12,347,11100
13,347,12100
14,350,13100
15,350,14100
16,351,15100
17,351,16100
18,352,17100
19,355,18100
20,355,19100
21,355,20000
