epsilon_progress,nfe
0,0
31,100
203,1100
333,2100
467,3100
556,4100
650,5100
715,6100
760,7100
792,8100
826,9100
845,10294
927,11470
976,12646
1029,13822
1071,14998
1109,16174
1136,17350
1164,18526
1182,19702
1208,20878
1224,22054
1234,23230
1252,24406
1260,25582
1275,26758
1285,27934
1296,29110
1305,30286
1314,31462
1320,32638
1325,33814
1329,34990
1336,36166
1340,37342
1343,38518
1348,39694
1348,40086
