,epsilon_progress,nfe
0,0,0
1,30,100
2,220,1100
3,382,2100
4,526,3100
5,639,4100
6,711,5100
7,764,6100
8,818,7100
9,850,8100
10,887,9100
11,909,10519
12,1032,11903
13,1122,13287
14,1188,14671
15,1271,16055
16,1331,17439
17,1391,18823
18,1438,20207
