epsilon_progress,nfe
0,0
16,100
86,1100
161,2100
222,3100
276,4100
319,5100
332,6100
347,7100
357,8100
369,9100
376,10138
378,11242
379,12346
379,13450
382,14554
383,15658
383,16762
385,17866
386,18970
388,20074
391,21178
391,22282
391,23386
392,24490
392,25594
392,26698
392,27802
393,28906
393,30010
393,31114
393,32218
393,33322
393,34426
393,35530
393,36634
393,37738
393,38842
393,39946
393,40130
