,epsilon_progress,nfe
0,0,0
1,16,100
2,103,1100
3,188,2100
4,267,3100
5,337,4100
6,390,5100
7,433,6100
8,463,7100
9,475,8100
10,484,9100
11,490,10174
12,503,11334
13,514,12494
14,525,13654
15,531,14814
16,533,15974
17,536,17134
18,538,18294
19,539,19454
20,539,20150
