,epsilon_progress,nfe
0,0,0
1,46,100
2,181,1100
3,326,2100
4,439,3100
5,519,4100
6,595,5100
7,657,6100
8,736,7100
9,793,8100
10,855,9100
11,909,10471
12,1030,11727
13,1134,12983
14,1220,14239
15,1299,15495
16,1362,16751
17,1421,18007
18,1473,19263
19,1515,20519
