epsilon_progress,nfe
0,0
32,100
157,1100
329,2100
431,3100
520,4100
605,5100
673,6100
721,7100
756,8100
781,9100
809,10399
914,11463
972,12527
1033,13591
1095,14655
1126,15719
1162,16783
1198,17847
1220,18911
1245,19975
1277,21039
1296,22103
1313,23167
1330,24231
1350,25295
1365,26359
1385,27423
1399,28487
1403,29551
1409,30615
1416,31679
1434,32743
1443,33807
1447,34871
1450,35935
1456,36999
1468,38063
1478,39127
1483,40191
