epsilon_progress,nfe
0,0
28,100
205,1100
332,2100
445,3100
533,4100
614,5100
677,6100
742,7100
816,8100
867,9100
897,10474
1030,11738
1138,13002
1227,14266
1306,15530
1369,16794
1422,18058
1478,19322
1524,20586
1558,21850
1597,23114
1624,24378
1647,25642
1671,26906
1699,28170
1739,29434
1758,30698
1782,31962
1793,33226
1817,34490
1833,35754
1853,37018
1871,38282
1885,39546
1889,40178
