,epsilon_progress,nfe
0,0,0
1,25,100
2,120,1100
3,230,2100
4,349,3100
5,449,4100
6,519,5100
7,563,6100
8,597,7100
9,616,8100
10,629,9100
11,644,10210
12,680,11330
13,687,12450
14,697,13570
15,701,14690
16,706,15810
17,710,16930
18,712,18050
19,713,19170
20,714,20010
