,epsilon_progress,nfe
0,0,0
1,21,100
2,81,1100
3,138,2100
4,225,3100
5,300,4100
6,344,5100
7,378,6100
8,402,7100
9,422,8100
10,425,9100
11,430,10192
12,448,11216
13,452,12240
14,456,13264
15,459,14288
16,459,15312
17,459,16336
18,459,17360
19,461,18384
20,462,19408
21,462,20176
