epsilon_progress,nfe
0,0
27,100
171,1100
328,2100
472,3100
576,4100
652,5100
708,6100
756,7100
805,8100
860,9100
893,10231
979,11463
1036,12695
1095,13927
1137,15159
1169,16391
1206,17623
1228,18855
1248,20087
1261,21319
1271,22551
1278,23783
1284,25015
1293,26247
1302,27479
1302,28711
1307,29943
1312,31175
1316,32407
1323,33639
1324,34871
1331,36103
1335,37335
1336,38567
1340,39799
1340,40107
