epsilon_progress,nfe
0,0
41,100
244,1100
413,2100
509,3100
578,4100
658,5100
729,6100
795,7100
834,8100
883,9100
904,10579
1077,12123
1201,13667
1291,15211
1386,16755
1469,18299
1583,19843
1662,21387
1734,22931
1817,24475
1886,26019
1946,27563
1984,29107
2030,30651
2069,32195
2117,33739
2160,35283
2193,36827
2229,38371
2265,39915
2285,40687
