epsilon_progress,nfe
0,0
19,100
78,1100
129,2100
197,3100
255,4100
288,5100
325,6100
341,7100
348,8100
351,9100
356,10144
366,11296
366,12448
368,13600
370,14752
370,15904
370,17056
371,18208
371,19360
372,20512
372,21664
373,22816
373,23968
373,25120
373,26272
373,27424
373,28576
373,29728
373,30880
373,32032
373,33184
373,34336
373,35488
373,36640
373,37792
374,38944
374,40096
