epsilon_progress,nfe
0,0
24,100
194,1100
363,2100
480,3100
568,4100
630,5100
672,6100
716,7100
762,8100
819,9100
846,10504
1004,11848
1099,13192
1175,14536
1237,15880
1310,17224
1380,18568
1448,19912
1506,21256
1557,22600
1601,23944
1637,25288
1671,26632
1706,27976
1740,29320
1759,30664
1784,32008
1810,33352
1831,34696
1853,36040
1877,37384
1893,38728
1915,40072
