,epsilon_progress,nfe
0,0,0
1,14,100
2,79,1100
3,155,2100
4,234,3100
5,275,4100
6,317,5100
7,333,6100
8,339,7100
9,346,8100
10,351,9100
11,355,10100
12,355,11100
13,355,12100
14,356,13100
15,356,14100
16,356,15100
17,356,16100
18,356,17100
19,358,18100
20,358,19100
21,358,20000
