,epsilon_progress,nfe
0,0,0
1,24,100
2,186,1100
3,309,2100
4,416,3100
5,509,4100
6,587,5100
7,641,6100
8,678,7100
9,711,8100
10,738,9100
11,759,10483
12,872,11771
13,960,13059
14,1036,14347
15,1102,15635
16,1153,16923
17,1224,18211
18,1260,19499
19,1276,20143
