policy,investment_mean,damage_mean,deaths_mean,deaths_mean_norm,investment_mean_norm,damage_mean_norm,composite_score
policy_204,493352625.8224012,31459326.502922352,0.0035004847537430336,,,,
policy_237,1730926162.0680454,15697370.491053913,0.004450733382766705,,,,
policy_202,329760707.8554591,46887172.282583356,0.004455716340079672,,,,
policy_222,356877632.0302915,29835182.353404373,0.02603990883866724,0.029916651392529893,0.10030189026386395,0.0,0.13021854165639385
